dataset,lambda1,lambda2,ACC,NMI,PUR
Fashion,0.01,0.01,0.9931,0.982158591,0.9931
Fashion,0.01,0.1,0.9936,0.983512229,0.9936
Fashion,0.01,1,0.7949,0.908477319,0.8
Fashion,0.01,10,0.3998,0.588080648,0.4174
Fashion,0.01,100,0.4074,0.415417588,0.4244
Fashion,0.1,0.01,0.9943,0.984548123,0.9943
Fashion,0.1,0.1,0.9938,0.983674983,0.9938
Fashion,0.1,1,0.9931,0.982694538,0.9931
Fashion,0.1,10,0.8989,0.950333722,0.8989
Fashion,0.1,100,0.5021,0.71449142,0.5094
Fashion,1,0.01,0.9927,0.981240531,0.9927
Fashion,1,0.1,0.9939,0.983770242,0.9939
Fashion,1,1,0.9933,0.982937198,0.9933
Fashion,1,10,0.9935,0.983044005,0.9935
Fashion,1,100,0.7946,0.881181641,0.7964
Fashion,10,0.01,0.9894,0.974635994,0.9894
Fashion,10,0.1,0.9899,0.975596731,0.9899
Fashion,10,1,0.9899,0.974938728,0.9899
Fashion,10,10,0.9919,0.979483696,0.9919
Fashion,10,100,0.9909,0.977544657,0.9909
Fashion,100,0.01,0.8643,0.923502761,0.8772
Fashion,100,0.1,0.8666,0.926910953,0.8784
Fashion,100,1,0.8685,0.929298333,0.8776
Fashion,100,10,0.8638,0.926148385,0.8791
Fashion,100,100,0.9906,0.976332782,0.9906
